STATION,STNAME,SHORTNAME,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION,CATCHAREA
221802,Raingauge @ Club Terrace,RG @ Club Terrace,55,671155.600,5842019.921,MGA94,-37.552950000,148.937640000,GDA94,NULL,.000,NULL,N,N,1,NULL,NULL,221,NULL
221803,RG @ Bemm Fire Tower- Bemm Tower Rd Club Terrace,RG @ Bemm Fire Tower,55,674610.860,5831503.109,NULL,-37.646908000,148.979234000,0,9,.000,NULL,N,N,1,2020-10-01,NULL,221,NULL
221804,RG @ Waldron Fire Tower -Waldron Rd Combienbar,RG @ Waldron FT,55,683377.147,5854086.101,NULL,-37.441780000,149.072900000,0,9,.000,NULL,N,N,1,2020-10-01,NULL,221,NULL
222200,SNOWY RIVER @ JARRAHMOND,SNOWY R @ JARRAHMOND,55,620071.000,5830901.000,UTM,-37.661086070,148.361313900,WGS84,9,27.000,1,Y,Y,1,1889-04-01,NULL,222,13421.00000
222201,SNOWY RIVER @ ORBOST,SNOWY R @ ORBOST,55,627898.000,5825644.400,UTM,-37.707393070,148.450950330,WGS84,9,7.000,1,Y,Y,1,1907-04-13,NULL,222,13572.00000
222202,BRODRIBB RIVER @ SARDINE CREEK,BRODRIBB @ SARDINE,55,636752.000,5847240.000,UTM,-37.511534490,148.547325400,WGS84,9,103.000,1,Y,N,1,1922-04-24,NULL,222,658.00000
222203,SNOWY RIVER @ MARLO JETTY,SNOWY @ MARLO JETTY,55,634504.800,5815384.500,NULL,-37.798888890,148.527777800,NULL,1,.000,1,N,N,1,1934-06-25,NULL,222,.00000
222204,SNOWY RIVER @ BETE BELONG,SNOWY @ BETE BELONG,55,623487.800,5824589.900,NULL,-37.717500000,148.401111100,NULL,1,.000,1,N,N,0,1938-10-21,1949-07-26,222,13540.00000
222205,SNOWY RIVER @ NEWMERELLA-LOCHEND ROAD,SNOWY @ NEWMERELLA,55,633887.775,5820634.951,MGA94,-37.751804000,148.519811000,GDA94,1,.000,1,N,N,1,1960-03-01,NULL,222,13600.00000
222206,BUCHAN RIVER @ BUCHAN,BUCHAN @ BUCHAN,55,603711.000,5849459.000,UTM,-37.495843240,148.173242400,WGS84,9,90.000,9,Y,Y,1,1926-03-27,NULL,222,822.00000
222207,BUCHAN RIVER @ MURRINDAL,BUCHAN R MURRINDAL,55,609403.000,5848400.800,NULL,-37.504722220,148.237777800,NULL,1,.000,1,N,N,0,1951-02-15,1972-11-21,222,1204.00000
222208,DEDDICK RIVER @ DEDDICK (WHITES),DEDDICK @ DEDDICK,55,630374.300,5895787.200,NULL,-37.075000000,148.466666700,NULL,1,.000,1,N,N,0,1959-12-09,1964-06-11,222,808.00000
222209,SNOWY RIVER @ MCKILLOP BRIDGE,SNOWY @ MCKILLOP BR.,55,625612.000,5894902.000,UTM,-37.083627560,148.413255100,WGS84,9,174.000,9,Y,Y,1,1941-03-01,NULL,222,10619.00000
222210,DEDDICK RIVER @ DEDDICK (CASEYS),DEDDICK @ DEDDICK,55,626577.700,5894693.700,UTM,-37.085374700,148.424152230,WGS84,9,.000,1,Y,N,1,1964-03-26,NULL,222,857.00000
222212,SNOWY RIVER @ BASIN CREEK NEAR BUCHAN,SNOWY @ BASIN CREEK,55,613458.700,5850738.100,MGA94,-37.483300000,148.283300000,GDA94,1,.000,1,N,N,0,1932-05-04,1978-07-01,222,11836.00000
222213,SUGGAN BUGGAN RIVER @ SUGGAN BUGGAN,S.BUGGAN @ SUGGAN,55,618048.000,5909278.000,UTM,-36.955055360,148.325920800,WGS84,9,.000,1,Y,N,1,1957-07-24,NULL,222,357.00000
222214,ROCKY RIVER @ NEAR ORBOST,ROCKY @ NEAR ORBOST,55,645109.500,5833372.700,NULL,-37.635200000,148.644600000,GDA94,1,.000,1,N,N,0,1969-12-08,1978-03-17,222,20.00000
222216,MURRINDAL RIVER @ BASIN ROAD (BUCHAN),MURRINDAL @ BASIN RD,55,608500.000,5849900.000,NULL,-37.491318720,148.227342300,NULL,1,.000,1,N,N,0,1976-02-04,1987-06-30,222,302.00000
222217,RODGER RIVER @ JACKSONS CROSSING,RODGER @ JACKSONS,55,620346.000,5858744.000,UTM,-37.410156040,148.359866600,WGS84,9,.000,1,Y,Y,1,1976-06-03,NULL,222,447.00000
222218,LITTLE RIVER @ WULGULMERANG,LITTLE @ WULGULMERAN,55,616400.000,5897200.000,NULL,-37.064107860,148.309280800,NULL,1,.000,1,N,N,0,1977-04-21,1984-07-18,222,88.00000
222219,SNOWY RIVER @ D/S OF BASIN CREEK,SNOWY @ BASIN CRK,55,612580.000,5848984.000,UTM,-37.499084730,148.273624800,WGS84,9,.000,1,Y,Y,1,1978-12-12,NULL,222,11964.00000
222221,BUCHAN RIVER @ EGW OFFTAKE,BUCHAN R @ EGW O/T,55,603874.000,5852271.000,UTM,-37.470483850,148.174689100,WGS84,NULL,.000,NULL,y,N,1,2009-05-14,NULL,222,.00000
222222,ROCKY RIVER U/S OT THE WEIR,ROCKY RIVER U/S OT T,55,645938.000,5834053.000,UTM,-37.628939220,148.653850800,WGS84,NULL,.000,NULL,y,N,1,2009-03-11,NULL,222,.00000
222223,Brodribb River @ U/S Lake Curlip,Brodribb R @ Lk Curl,55,635984.236,5823374.335,NULL,-37.726682000,148.543080000,NULL,9,.000,NULL,y,N,1,2020-04-01,NULL,222,NULL
222400,MOYANGUL RIVER @ LOOKOUT NEAR TIN MINE,MOYANGUL R @ LOOKOUT,55,613203.500,5941897.700,NULL,-36.661666670,148.266666700,NULL,1,.000,1,N,N,0,1955-03-14,1963-11-14,222,29.00000
222401,INGEEGOODBEE RIVER @ D/S OF TIN MINE HUTS,INGEEGOODBEE DS HUTS,55,613098.400,5933947.300,NULL,-36.733333330,148.266666670,NULL,1,.000,1,N,N,0,1955-05-19,1963-11-14,222,21.00000
222403,BUCHAN RIVER @ GLENMORE,BUCHAN @ GLENMORE,55,600499.400,5879843.500,MGA94,-37.222500000,148.132800000,GDA94,1,.000,1,N,N,0,1955-01-27,1969-07-22,222,513.00000
222404,MELLICK MUNJIE CREEK @ GILLINGALL,MELLICK MUNJIE CREEK,55,598595.500,5877355.200,NULL,-37.245000000,148.111667000,NULL,1,.000,1,N,N,0,1955-07-05,1969-07-22,222,70.00000
223200,TAMBO RIVER @ BRUTHEN,TAMBO @ BRUTHEN,55,573600.000,5825700.000,NULL,-37.712863470,147.835038400,NULL,1,.000,1,N,N,0,1906-01-01,1985-03-15,223,2727.00000
223201,TAMBO RIVER @ ENSAY SOUTH,TAMBO @ ENSAY STH.,55,573543.300,5862603.600,MGA94,-37.380400000,147.830700000,GDA94,1,.000,1,N,N,0,1924-05-14,1931-09-30,223,1326.00000
223202,TAMBO RIVER @ SWIFTS CREEK,TAMBO @ SWIFTS CREEK,55,564619.000,5875047.000,UTM,-37.268781200,147.728818550,WGS84,9,305.000,1,Y,Y,1,1937-06-01,NULL,223,943.00000
223204,NICHOLSON RIVER @ DEPTFORD,NICHOLSON @ DEPTFORD,55,561543.000,5839104.000,UTM,-37.592946310,147.697124000,WGS84,9,.000,1,Y,Y,1,1961-05-12,NULL,223,287.00000
223205,TAMBO RIVER @ D/S OF RAMROD CREEK,TAMBO @ DS RAMROD,55,576710.000,5830147.000,UTM,-37.672530620,147.869851300,WGS84,9,.000,1,Y,N,1,1965-06-09,NULL,223,2681.00000
223206,TAMBO RIVER @ BINDI,TAMBO @ BINDI,55,571424.200,5896694.300,MGA94,-37.073300000,147.803500000,GDA94,1,.000,1,N,N,0,1957-08-08,1974-12-19,223,401.00000
223207,TIMBARRA RIVER @ TIMBARRA,TIMBARRA @ TIMBARRA,55,592900.000,5869900.000,NULL,-37.312774830,148.048391500,NULL,1,.000,1,N,N,0,1957-07-23,1973-06-04,223,205.00000
223208,TAMBO RIVER @ BINDI (NEAR JUNCTION CREEK),TAMBO R @ BINDI,55,568710.000,5887104.000,ANG,-37.159815170,147.773843500,AGD66,1,380.000,1,N,N,1,1974-03-21,2003-07-14,223,523.00000
223209,TAMBO RIVER @ BATTENS LANDING,TAMBO @ BATTENS,55,574796.100,5820757.900,UTM,-37.757306200,147.849116070,WGS84,9,.000,1,Y,N,1,1977-01-26,NULL,223,2781.00000
223210,NICHOLSON RIVER @ SARSFIELD,NICHOLSON @ SARSFIEL,55,562646.000,5823050.000,UTM,-37.737561550,147.710996200,WGS84,9,42.000,1,Y,Y,1,1977-09-21,NULL,223,471.00000
223212,TIMBARRA RIVER @ D/S OF WILKINSON CREEK,TIMBARRA DS WILKINSO,55,594066.000,5855069.000,UTM,-37.446318430,148.063433700,WGS84,9,200.000,1,Y,N,1,1982-05-06,NULL,223,438.00000
223213,TAMBO RIVER @ D/S OF DUGGAN CREEK,TAMBO @ D/S DUGGAN C,55,578509.000,5904321.000,UTM,-37.003862940,147.882392600,WGS84,9,.000,1,n,n,0,1987-09-16,2013-04-23,223,96.00000
223214,TAMBO RIVER @ U/S OF SMITH CREEK,TAMBO @ U/S SMITH CK,55,582588.000,5909736.000,UTM,-36.954706560,147.927640000,WGS84,9,950.000,1,Y,Y,1,1989-03-02,NULL,223,32.00000
223215,HAUNTED STREAM @ HELLS GATE,HAUNTED @ HELLS,55,573015.000,5851389.000,UTM,-37.481387050,147.825838850,WGS84,9,169.000,1,Y,N,1,1990-02-08,NULL,223,180.00000
223217,NICHOLSON RIVER @ PUMP HOUSE,NICHOLSON R @ PUMP H,55,564088.000,5821594.000,UTM,-37.750583950,147.727489300,GDA94,NULL,.000,NULL,y,N,1,2011-01-20,NULL,223,.00000
223218,Nicholson River @ Granite Rock,Nicholson R @ GR,55,561277.445,5824164.128,NULL,-37.727613000,147.695371000,NULL,GPS,.000,NULL,N,N,1,NULL,NULL,223,NULL
223402,TIMBARRA RIVER @ NUNNIONG PLAINS,TIMBARRA @ NUNNIONG,55,587028.300,5888208.600,NULL,-37.148333330,147.980000000,NULL,1,.000,1,N,N,0,1955-06-22,1960-02-16,223,16.00000
223403,TAMBO RIVER @ NUNNIONG PLAINS,TAMBO @ NUNNIONG,55,583943.900,5892462.900,MGA94,-37.110400000,147.944800000,GDA94,1,.000,1,N,N,0,1955-06-21,1960-02-16,223,39.00000
223800,RAINGAUGE (TAMBO RIVER) @ MOUNT ELIZABETH,RG @ MT. ELIZABETH,55,582300.000,5850700.000,NULL,-37.486815970,147.930922300,NULL,1,.000,1,N,N,0,1985-01-15,2004-10-20,223,.00000
223801,RAIN GAUGE (TAMBO RIVER) @ MT ELIZABETH HELIPAD,RG MT ELIZA'TH HELIP,55,581909.000,5850809.000,UTM,-37.485868370,147.926487900,WGS84,9,.000,1,N,N,0,2004-10-20,2011-01-19,223,.00000
223802,RAINGAUGE @ MOUNT ELIZABETH SOMMERVILLE TRACK,RG MT ELIZABETH TRK,55,580733.000,5851999.000,UTM,-37.475247030,147.913057000,GDA94,NULL,.000,NULL,N,N,1,2011-01-19,NULL,223,NULL
223804,RG @ Brookville,RG # Brookville,55,555011.596,5869165.586,NULL,-37.322410000,147.620900000,NULL,NULL,.000,NULL,Y,N,1,2021-03-26,NULL,223,NULL
224200,MITCHELL RIVER @ BAIRNSDALE,MITCHELL @ BAIRNS,55,552241.000,5813267.000,UTM,-37.826386090,147.593616540,WGS84,9,.000,1,Y,N,1,1889-04-01,NULL,224,4425.00000
224201,WONNANGATTA RIVER @ WATERFORD,WATERFORD,55,514714.000,5850745.000,UTM,-37.489960860,147.166443700,WGS84,9,183.000,9,n,N,1,1922-03-24,NULL,224,1979.00000
224202,DARGO RIVER @ DARGO (LOWER SITE),DARGO @ DARGO,55,522382.800,5853822.200,MGA94,-37.462200000,147.253100000,GDA94,1,.000,1,N,N,0,1922-03-23,1953-12-21,224,653.00000
224203,MITCHELL RIVER @ GLENALADALE,MITCHELL GLENALADALE,55,533010.000,5820334.000,UTM,-37.763589910,147.374777600,WGS84,9,.000,1,Y,Y,1,1937-08-07,NULL,224,3903.00000
224204,CROOKED RIVER @ TALBOTVILLE,CROOKED TALBOTVILLE,55,506970.600,5866715.200,NULL,-37.346100000,147.078700000,NAD1983,1,.000,1,N,N,0,1923-11-12,1971-10-23,224,275.00000
224205,DARGO RIVER @ DARGO (UPPER SITE),DARGO @ DARGO UPPER,55,524129.900,5861627.700,MGA94,-37.391800000,147.272600000,GDA94,1,.000,1,N,N,0,1953-06-01,1974-06-26,224,539.00000
224206,WONNANGATTA RIVER @ CROOKED RIVER,WONNANGATTA @CROOKED,55,507891.000,5859903.000,UTM,-37.407496900,147.089164520,WGS84,9,.000,1,Y,Y,1,1953-05-07,NULL,224,1096.00000
224207,WONGUNGARRA RIVER @ GUYS,WONGUNGARRA @ GUYS,55,508800.000,5862200.000,NULL,-37.386784060,147.099408400,NULL,1,.000,1,N,N,0,1953-05-07,1989-01-10,224,736.00000
224208,MITCHELL RIVER @ HOWITT DAM SITE,MITCHELL @ HOWITT,55,532433.800,5827894.300,MGA94,-37.695600000,147.367900000,GDA94,1,.000,1,N,N,0,1969-02-14,1975-12-22,224,3761.00000
224209,COBBANNAH CREEK @ NEAR BAIRNSDALE,COBBANNAH @ BAIRNS,55,530900.000,5831600.000,NULL,-37.662121640,147.350343800,NULL,1,.000,1,N,N,0,1970-05-15,1987-07-01,224,106.00000
224210,WONNANGATTA RIVER @ KINGSWELL BRIDGE (HAWKHURST),WONNAGATTA @ KINGWEL,55,510185.800,5859581.700,MGA94,-37.410500000,147.115100000,GDA94,1,.000,1,N,N,0,1970-02-12,1981-03-25,224,1883.00000
224213,DARGO RIVER @ LOWER DARGO ROAD,DARGO @ L DARGO RD,55,523752.000,5850152.000,UTM,-37.495117620,147.268699200,WGS84,9,.000,1,Y,Y,1,1973-05-24,NULL,224,676.00000
224214,WENTWORTH RIVER @ TABBERABBERA,WENTWORTH @TABBERA'A,55,534808.000,5850099.000,UTM,-37.495244660,147.393772700,WGS84,9,.000,1,Y,N,1,1974-07-04,NULL,224,443.00000
224215,MITCHELL RIVER @ ANGUSVALE (TABBERABBERA),MITCHELL @ ANGUSVALE,55,529928.000,5838289.000,UTM,-37.601864050,147.339049400,WGS84,9,.000,1,N,N,0,1975-05-28,2008-09-30,224,3430.00000
224216,CLIFTON CREEK @ WY YUNG,CLIFTON @ WY YUNG,55,554294.500,5816639.700,MGA94,-37.796000000,147.616700000,GDA94,1,.000,1,N,N,0,1977-01-28,1979-01-04,224,129.00000
224217,MITCHELL RIVER @ ROSEHILL,MITCHELL @ ROSEHILL,55,550366.000,5814542.000,UTM,-37.815000360,147.572223120,WGS84,9,27.000,1,Y,Y,1,1976-10-29,NULL,224,4413.00000
224220,RAIN GAUGE (BOGGY CREEK) @ BULLUMWAAL,RG @ BULLUMWAAL,55,548565.500,5830013.300,UTM,-37.675657580,147.550733730,WGS84,9,.000,1,n,N,1,1991-02-26,NULL,224,83.00000
224222,MITCHELL RIVER U/S GLENALADALE PUMPHOUSE,MITCHELL R GLENA. PS,55,532443.000,5823351.000,UTM,-37.736550000,147.368200000,WGS84,NULL,.000,NULL,y,N,1,2009-12-18,NULL,224,.00000
224402,MOROKA RIVER @ HORSE YARD,MOROKA @ HORSE YARD,55,498526.500,5851507.600,MGA94,-37.483333000,146.983333000,GDA94,1,.000,1,N,N,0,1953-03-17,1969-02-06,224,50.00000
224601,Macleod Morass - Site 2 Western Bank,Macleod Site 2 WB,55,556389.907,5808742.151,NULL,-37.866919440,147.641111110,NULL,NULL,.000,NULL,N,N,1,NULL,NULL,224,NULL
224602,Macleod Morass - Site 1 Regulator,Macleod Site 1 Reg,55,556120.470,5810682.965,NULL,-37.849444440,147.637897220,NULL,NULL,.000,NULL,N,N,1,2021-05-25,NULL,224,NULL
225019,NORTH CASCADE CREEK @ THOMSON VALLEY ROAD,N CASCADE @ THOMSON,55,441836.200,5815577.500,MGA94,-37.805335000,146.339268000,GDA94,1,.000,1,N,N,0,1962-01-11,1974-06-06,225,11.00000
225101,THOMSON RIVER @ D/S OF SWINGLER CREEK,THOMSON DS SWINGLER,55,440000.000,5826400.000,NULL,-37.707546440,146.319308800,NULL,1,.000,1,N,N,0,1972-11-30,1977-06-16,225,186.00000
225103,THOMSON RIVER @ THOMSON ADIT,THOMSON @ THOMSON AD,55,431100.000,5827800.000,NULL,-37.694302860,146.218480100,NULL,1,.000,1,N,N,0,1973-03-23,1984-05-01,225,98.00000
225105,THOMSON RIVER @ NEWLAND ROAD,THOMSON @ NEWLAND RD,55,427654.100,5819829.700,MGA94,-37.766000000,146.178600000,GDA94,1,.000,1,N,N,0,1954-03-30,1984-05-01,225,16.00000
225106,THOMSON RIVER @ ABERFELDY (SWINGLER POND),THOMSON @ ABERFELDY,55,440800.000,5826300.000,NULL,-37.708499780,146.328375900,NULL,1,.000,1,N,N,0,1965-05-05,1986-05-01,225,332.00000
225108,DONNELLY CREEK @ CRICKET GROUND,DONNELLY @ CRICKET,55,448200.000,5821600.000,NULL,-37.751308280,146.411989800,NULL,1,.000,1,N,N,0,1974-01-17,1977-08-09,225,89.00000
225114,THOMSON RIVER @ D/S WHITELAWS CREEK,THOMSON R WHITELAWS,55,436711.000,5825795.000,UTM,-37.712777770,146.281945600,WGS84,9,.000,1,N,Y,1,1987-03-27,NULL,225,155.30000
225200,THOMSON RIVER @ HEYFIELD,THOMSON @ HEYFIELD,55,480693.000,5795763.000,UTM,-37.985440260,146.780140200,WGS84,9,43.000,1,Y,Y,0,1889-04-01,2018-09-03,225,1238.00000
225201,AVON RIVER @ STRATFORD,AVON @ STRATFORD,55,506676.000,5797653.000,UTM,-37.968586800,147.076006100,WGS84,9,12.000,9,Y,Y,1,1976-11-01,NULL,225,1485.00000
225204,MACALISTER RIVER @ LAKE GLENMAGGIE (TAIL GAUGE),GLENMAGGIE TAIL,55,482885.000,5805021.000,UTM,-37.902042820,146.805321900,WGS84,9,.000,1,Y,Y,0,1919-03-27,NULL,225,1891.00000
225205,AVON RIVER @ VALENCIA CREEK,AVON @ VALENCIA,55,498853.300,5813582.400,MGA94,-37.825170000,146.986970000,GDA94,1,.000,1,N,N,0,1919-03-19,1974-01-01,225,862.00000
225206,THOMSON RIVER @ COWWARR,THOMSON @ COWWARR,55,470002.400,5794115.300,NULL,-38.000000000,146.658333000,NULL,1,.000,1,N,N,0,1922-03-09,1952-12-31,225,1088.00000
225207,THOMSON RIVER @ WALHALLA,THOMSON @ WALHALLA,55,449064.300,5798590.900,MGA94,-37.958861000,146.420175000,GDA94,1,.000,1,N,N,0,1950-03-09,1952-05-22,225,875.00000
225208,THOMSON RIVER @ COOPER CREEK,COOPER CREEK,55,449500.000,5795600.000,NULL,-37.985709000,146.424927700,NULL,1,.000,1,N,N,0,1929-11-20,1960-05-30,225,906.00000
225209,MACALISTER RIVER @ LICOLA,MACALISTER @ LICOLA,55,466762.000,5835198.000,UTM,-37.629610370,146.623312300,WGS84,9,.000,1,Y,Y,1,1952-08-01,NULL,225,1233.00000
225210,THOMSON RIVER @ THE NARROWS,THOMSON @ NARROWS,55,447491.263,5806094.894,UTM,-37.891010000,146.402820000,WGS84,9,.000,1,N,Y,1,1953-06-11,NULL,225,518.00000
225211,AVON RIVER @ BUXTON,AVON @ BUXTON,55,495599.200,5814510.100,NULL,-37.816667000,146.950000000,GDA94,1,.000,1,N,N,0,1953-07-15,1981-10-22,225,580.00000
225212,THOMSON RIVER @ WANDOCKA,THOMSON @ WANDOCKA,55,489554.000,5792978.000,UTM,-38.010686380,146.881004600,WGS84,9,.000,1,Y,Y,1,1963-03-29,NULL,225,1417.00000
225213,ABERFELDY RIVER @ BEARDMORE,ABERFELDY @BEARDMORE,55,450135.000,5810238.000,UTM,-37.853818450,146.433171900,WGS84,9,336.000,1,Y,Y,1,1963-06-27,NULL,225,311.00000
225216,JORDAN RIVER @ ABERFELDY,JORDAN RIVER,55,439747.800,5829099.300,MGA94,-37.683333000,146.316667000,GDA94,1,.000,1,N,N,0,1965-05-06,1972-07-18,225,124.00000
225217,BARKLY RIVER @ GLENCAIRN,BARKLY @ GLENCAIRN,55,461700.000,5842800.000,NULL,-37.560894690,146.566343700,NULL,1,.000,1,N,N,0,1966-05-12,1989-01-04,225,248.00000
225218,FREESTONE CREEK @ BRIAGALONG,FREESTONE CREEK,55,508366.400,5815232.800,NULL,-37.810125600,147.095047300,NULL,NULL,78.000,1,Y,Y,1,1967-04-12,NULL,225,309.00000
225219,MACALISTER RIVER @ GLENCAIRN,MACALISTER @ GLEN,55,461689.000,5847757.000,UTM,-37.516215230,146.566477900,WGS84,9,.000,1,Y,N,1,1967-04-07,NULL,225,570.00000
225220,VALENCIA CREEK @ RADETTIS,VALENCIA @ RADETTIS,55,500000.000,5819148.700,MGA94,-37.775000000,147.000000000,GDA94,1,.000,1,N,N,0,1967-12-01,1971-11-19,225,233.00000
225221,MACALISTER RIVER @ STRINGYBARK CREEK,MACALISTER @ STRINGY,55,470738.000,5819709.000,UTM,-37.769350730,146.667749300,WGS84,9,.000,1,n,n,1,1968-03-18,2018-09-03,225,1542.00000
225222,GLENMAGGIE CREEK @ SEATON (AUBREYS),GLENMAGGIE @ SEATON,55,471117.400,5803309.800,MGA94,-37.917300000,146.671400000,GDA94,1,.000,1,N,N,0,1970-03-10,1975-12-18,225,141.00000
225223,VALENCIA CREEK @ GILLIO ROAD,VALENCIA @ GILLIO RD,55,499321.000,5822633.000,UTM,-37.743464130,146.992293100,WGS84,9,99.000,1,Y,Y,1,1971-09-06,NULL,225,195.00000
225224,AVON RIVER @ THE CHANNEL,AVON @ CHANNEL,55,489868.000,5816150.000,UTM,-37.801840850,146.884907300,WGS84,9,96.000,1,Y,Y,1,1972-07-12,NULL,225,554.00000
